workday,price1986,price1987,price1988,price1989,price1990,price1991,price1992,price1993,price1994,price1995,price1996,price1997,price1998,price1999,price2000,price2001,price2002,price2003,price2004,price2005,price2006,price2007,price2008,price2009,price2010,price2011,price2012,price2013,price2014,price2015,price2016,price2017,price2018
242,1.200951954,-1.365082362,1.024806038,1.353742778,-0.437671785,-0.117398315,0.136591758,1.465714188,-0.327623504,1.801763287,1.630620791,0.904354168,0.329180724,1.18747725,-0.153815496,-0.351963317,-0.675313421,1.58499627,1.583225197,1.699602467,2.095638663,-0.02103342,-1.733828674,1.533864085,1.807259588,-0.180993989,1.207433326,1.222631097,0.526820818,0.292059865,2.042027974,2.194795155,-34.84609788
243,1.324558866,-1.231073427,1.007203559,1.275399777,-0.5758429,-0.079882036,0.00645438,1.536098245,0.147762118,1.787566757,1.633957934,1.006465864,0.504692845,1.206985098,-0.832655893,-0.273036475,-0.78108557,1.607156966,1.357101649,1.66875688,2.087039531,0.103147347,-1.501138425,1.402848816,1.79129048,-0.185928523,0.897501558,1.209622245,1.047891399,-0.16450443,2.032661729,2.301041862,-34.84609788
244,1.159286625,-1.434463004,1.256594932,1.041592012,-0.579137422,-0.214030549,-0.480722699,1.730228886,-0.040136007,1.521652984,1.528909539,0.970527099,0.56196668,1.030948085,-0.237444624,-0.273036475,-0.882293144,1.752286974,1.404500523,1.470598993,2.14784204,0.055201858,-1.565715277,1.423192203,1.761309099,-0.390106289,1.084574791,1.618601511,1.810104126,-0.826660687,2.074719712,2.272714332,-34.84609788
245,1.108453877,-1.22770156,1.565975695,1.030909184,-0.354501218,-0.167554112,-0.247144255,1.758015355,-0.308481231,1.612491585,1.643910376,0.759647419,0.737476787,1.11848501,-0.41010232,-0.189956156,-0.977189347,1.794828837,1.801517633,1.313428192,2.132767869,0.128204228,-1.707648494,1.507258304,1.881037032,0.297733408,0.706108004,1.63412508,1.858321953,-0.604790523,2.171837793,2.251459081,-34.84609788
246,1.256875316,-1.166445136,1.472895701,0.98817516,-0.354501218,-0.117398315,0.488629475,1.681218176,0.086346034,1.480031574,1.754481354,0.588128888,0.85200636,1.123244614,-1.160806321,-0.122028424,-0.808754787,1.879208191,2.030645222,1.456394965,2.046533506,0.518254385,-1.724394431,1.557343003,1.938322698,0.306216503,0.543580796,1.692891417,2.138105504,-0.306152602,2.137196566,2.293545571,-34.84609788
247,1.23215461,-1.214906315,1.452756001,1.005980325,-0.33614581,0.043546696,0.475281318,1.811299613,0.235842761,1.5774965,2.119418245,0.707925385,1.176522567,1.437734017,-0.684658849,-0.113089918,-0.829481724,1.883809323,2.076221065,1.739023981,1.888652876,0.707351538,-1.762842918,1.558832765,1.968782134,0.432459312,0.46737438,1.795545917,2.255220584,0.02798187,2.112715053,2.272192812,-34.84609788
248,1.122805722,-1.104457314,1.392488126,1.118711057,-0.307906853,0.748286293,0.618766854,1.777176444,0.446758364,1.581269453,2.150368285,0.465480092,1.209392121,1.414897636,-0.265331128,-0.294702788,-0.881418622,1.832897758,1.869290891,1.707717639,2.018975578,0.710491546,-1.827678849,1.61173713,1.928619277,0.68602423,0.410140072,1.883485976,2.26615043,-0.06295141,2.128551279,2.26625517,-34.84609788
249,1.23863543,-1.128707986,1.513168258,1.106859964,-0.39107742,0.975465785,0.49263351,2.045964697,0.768772064,1.613459763,2.163657872,0.405258731,1.227432868,1.54810732,-0.104463813,-16.06361104,-0.899236849,1.860392898,2.187497457,1.172492687,2.22725756,0.345043064,-1.795979036,1.63835254,1.973241841,0.68061974,-0.085171044,2.054408977,2.308668342,-0.106039525,2.140461597,2.287503034,-34.84609788
250,1.271227152,-1.359029857,1.425155863,1.19110134,-0.284576019,1.231283423,0.703853692,2.05237782,0.515810773,1.602092307,2.260968758,0.441710946,1.421500608,1.560475,0.208667618,-16.06361104,-1.047335146,2.037295253,2.084622875,1.266297759,2.208944884,0.356952793,-1.765522167,1.636705809,1.994650134,0.395265116,0.434655519,2.052354086,2.28065995,0.241383707,2.022340421,2.335315899,-34.84609788
251,1.101973058,-1.424348389,1.4779633,1.235059332,-0.36277116,1.379751004,0.821644948,2.056653229,0.446758364,1.575584447,2.329515038,0.656774367,1.326061643,1.5110058,0.394192821,-16.06361104,-1.013918111,2.002064477,1.96737803,1.208262871,2.13131163,0.164697054,-1.785982404,1.639762373,1.960557492,0.67183197,-40.59352472,2.088512529,2.180860177,0.030253002,2.007595991,2.245839078,-34.84609788
252,1.069474008,-1.330067,1.706795527,1.351350551,-0.33782672,1.87882681,0.446919039,1.915806846,0.458267091,1.631429241,2.370447015,0.891803873,1.134095642,1.579858274,0.16576488,-16.06361104,-1.003824633,2.04282819,1.897211049,0.866731958,-23.08569662,-25.0727377,-1.666625021,1.520975285,1.977527325,0.530152317,-40.59352472,2.189630634,1.891376521,-0.292163137,1.946944322,-16.452401,-34.84609788
253,0.952255234,-1.375847049,1.508100659,-13.96800258,-0.307906853,1.918184721,0.618766854,1.749466391,-43.23394106,-11.77196383,2.337252548,0.877161708,-17.77506751,-16.30557715,-30.3442349,-16.06361104,-10.59305399,-12.7127922,-41.86273906,-53.505528,-23.08569662,-25.0727377,-1.596742118,-8.762256265,-23.2113595,-24.38303009,-40.59352472,-20.97155697,-30.35542068,-31.70636339,-19.0156508,-16.452401,-34.84609788
